gene name	test_pipeline	first_sample
ASUN	0	61
TM7SF3	99	81
DLX3	0	0
SPA17	0	9
TSPAN32	0	0
WISP2	0	0
DMRT3	0	0
ST3GAL6	28	58
ATP2C2	0	0
NGFR	0	0
CDON	0	0
TAF2	29	40
HIPK2	1	33
TNPO3	0	34
BORCS8-MEF2B	0	0
RFXANK	192	6
TMEM161A	49	40
LPAR2	0	7
CTSA	479	399
SUGP2	1	90
SLC12A2	27	9
SNX24	0	7
EYA2	0	0
CNN2	187	377
ABCA7	0	0
SNCAIP	13	0
DDX20	28	11
BTBD1	0	1
FAR2	0	0
BCAS1	0	0
POU1F1	0	0
CHI3L2	0	0
SBNO2	0	0
PMS1	38	7
HMG20B	0	17
CALCRL	0	0
TAF11	25	44
ANKS1A	0	0
AP3D1	459	162
ZNF76	11	0
SLC9A3R2	31	17
NTHL1	33	168
UHRF1BP1	0	0
GNAI3	74	134
IPO5	34	11
OAT	82	193
WDR3	12	66
PKN2	0	0
WDR18	484	218
TRAM2	0	22
NTN1	0	14
GLP2R	0	0
MCM10	0	90
DGKA	0	2
ERBB3	0	54
ROPN1	0	0
ANKRD44	1	0
KARS	70	360
ADAT1	0	0
PDIA5	141	100
TBC1D22B	0	0
NDUFB4	419	391
SPEN	0	5
MYLK	0	15
ZC3H15	151	188
MAP2K4	76	8
TMEM206	0	40
SNAP91	0	0
SLK	0	18
CYB5R4	55	5
COL17A1	0	0
GSTO2	0	0
SEC61A2	32	1
PRKCQ	0	0
TLE2	0	0
ASB1	152	17
FAM107B	36	47
ME1	152	93
TBC1D1	0	5
CDK13	0	7
MTHFD2	138	41
SLC9A7	0	0
FOXJ2	0	0
YBX1	377	156
PDE4A	0	0
PPP2R5A	0	0
CTNNA2	0	0
ELAVL1	25	18
TIE1	0	0
DIP2B	5	10
SMARCD1	53	0
KDM4A	1	0
NFYC	146	13
ZMYND12	0	0
SLC9A3	0	0
NGEF	17	0
ASPM	2	71
CD84	0	0
ELOVL1	230	126
SPI1	0	0
ZNRD1	24	19
MPPED2	0	0
CLDN18	0	0
ZBTB11	20	3
